iter	Logloss
0	0.675986679
1	0.65940076
2	0.6436662597
3	0.6300718071
4	0.6156977768
5	0.6042795783
6	0.5899842455
7	0.5788793274
8	0.5658317674
9	0.5544206523
10	0.5437246509
11	0.531402207
12	0.5196465639
13	0.5080242727
14	0.4983922649
15	0.4875005368
16	0.4794430582
17	0.4697886114
18	0.461095357
19	0.4512118303
20	0.4433244337
21	0.4344130149
22	0.4244309973
23	0.4158559848
24	0.4072638757
25	0.3994274037
26	0.3925531359
27	0.3859237497
28	0.3778961544
29	0.3704211302
30	0.3638807763
31	0.3585355251
32	0.3530403989
33	0.3481774769
34	0.341346661
35	0.3349366022
36	0.3285854017
37	0.3233687387
38	0.3168379054
39	0.3107780744
40	0.3055758634
41	0.3012820149
42	0.2961130049
43	0.2916108403
44	0.2865930593
45	0.2818003329
46	0.2776718849
47	0.272590394
48	0.2691510382
49	0.2645285491
50	0.2604001584
51	0.2567271213
52	0.2532998057
53	0.2493587423
54	0.2463866657
55	0.2422426264
56	0.2391228217
57	0.2354041568
58	0.2325065438
59	0.2289864556
60	0.2251583367
61	0.221942326
62	0.2189105627
63	0.2155566402
64	0.2128878564
65	0.2106577755
66	0.2076062923
67	0.2053014232
68	0.2026045011
69	0.2001336201
70	0.1971890396
71	0.1945842129
72	0.1914858133
73	0.1888089404
74	0.1867192538
75	0.1844325823
76	0.1823732929
77	0.1801302672
78	0.1775926491
79	0.1751704977
80	0.1729457244
81	0.1701861046
82	0.1682407008
83	0.1663250381
84	0.1641403402
85	0.1617260195
86	0.1598372675
87	0.1580708432
88	0.1558364904
89	0.1542409556
90	0.1525636119
91	0.1512315151
92	0.149434974
93	0.1475476816
94	0.1455307992
95	0.1439889763
96	0.1425677762
97	0.1411825692
98	0.1392339663
99	0.1377075284
100	0.1361042902
101	0.1345766937
102	0.1330888099
103	0.1318837649
104	0.1309807254
105	0.129645916
106	0.1283992243
107	0.1268747675
108	0.1255936372
109	0.1241048959
110	0.1231529931
111	0.121747508
112	0.1208001323
113	0.1196729367
114	0.1185758382
115	0.1174250456
116	0.1162503465
117	0.1151946206
118	0.1143406697
119	0.1134017581
120	0.1122047126
121	0.1109804475
122	0.1095292248
123	0.1086062173
124	0.1077440292
125	0.1065528326
126	0.1053244012
127	0.1041410439
128	0.103337524
129	0.1024846797
130	0.1015561554
131	0.1003757951
132	0.099482216
133	0.0987389487
134	0.0976608977
135	0.09672399226
136	0.09584838983
137	0.09486845216
138	0.09430610842
139	0.09377015337
140	0.09314074231
141	0.09269966764
142	0.09189561935
143	0.09110117629
144	0.09042143589
145	0.08974558421
146	0.08895565216
147	0.08843484689
148	0.08802338859
149	0.08728197647
150	0.08653011182
151	0.08601078253
152	0.08532278404
153	0.08469840658
154	0.08399744634
155	0.08332450232
156	0.08280464752
157	0.08207013759
158	0.08147180488
159	0.08094141477
160	0.08038849032
161	0.08001226784
162	0.07952725654
163	0.07904133266
164	0.07851679139
165	0.07793000217
166	0.07754409488
167	0.07694964071
168	0.07640875348
169	0.0759341367
170	0.07519910242
171	0.07479431897
172	0.07422515961
173	0.07389594319
174	0.07348294655
175	0.07295410149
176	0.07253980782
177	0.07201126094
178	0.07143572578
179	0.07082871878
180	0.07031598592
181	0.06980421374
182	0.06933802527
183	0.0688661095
184	0.06842713339
185	0.06798855104
186	0.06768811857
187	0.0672822293
188	0.06682976709
189	0.06643862363
190	0.06598296521
191	0.06553224975
192	0.0652066475
193	0.06477976982
194	0.06438142455
195	0.06403555497
196	0.06361892579
197	0.06333540646
198	0.0629377814
199	0.06253641042
200	0.06216693857
201	0.06193695383
202	0.06149942368
203	0.06109867527
204	0.06075627122
205	0.06037122055
206	0.0600341917
207	0.05974914217
208	0.05947430443
209	0.05917964588
210	0.05882406934
211	0.05853748613
212	0.05817208313
213	0.05784516521
214	0.05756547282
215	0.05711815643
216	0.05688893882
217	0.05663455786
218	0.05629096171
219	0.05599820526
220	0.05564296508
221	0.0553787355
222	0.05501998841
223	0.05474797205
224	0.05435111587
225	0.05404997921
226	0.05382439268
227	0.0534130431
228	0.05305268071
229	0.05275984906
230	0.05247945716
231	0.0522470381
232	0.05196382189
233	0.05170254194
234	0.05148704769
235	0.05125403463
236	0.05090269891
237	0.05060145091
238	0.05034886887
239	0.05014614837
240	0.0498735176
241	0.04969157391
242	0.04943300576
243	0.04922664078
244	0.0489020266
245	0.0485283728
246	0.0483481371
247	0.04799703689
248	0.04775299828
249	0.04746148056
250	0.04732257113
251	0.04699618717
252	0.04673086227
253	0.04647621607
254	0.04626125578
255	0.04593884275
256	0.04561787421
257	0.04537894732
258	0.04516123093
259	0.0449231079
260	0.04469962808
261	0.0444729264
262	0.0442008022
263	0.04403534145
264	0.04382879518
265	0.04354007611
266	0.04332253519
267	0.0431472818
268	0.04303593974
269	0.04276107576
270	0.04264944223
271	0.04246462878
272	0.04229619217
273	0.04212202361
274	0.04196745026
275	0.04173532208
276	0.04148060885
277	0.04135877696
278	0.04119759667
279	0.04103466934
280	0.04085447328
281	0.04067982555
282	0.04042628575
283	0.04021229254
284	0.03995075144
285	0.03976782843
286	0.03953926138
287	0.0393673132
288	0.0391443143
289	0.03889673846
290	0.03868346867
291	0.03850612664
292	0.03838337488
293	0.03816599426
294	0.03803933629
